Sao Paulo,-23.5500,-46.6333,Brazil,BR,Sao Paulo,admin,23086000,12252023
Rio de Janeiro,-22.9111,-43.2056,Brazil,BR,Rio de Janeiro,admin,12592000,6520000
Belo Horizonte,-19.9167,-43.9333,Brazil,BR,Minas Gerais,admin,5328000,2502557
Brasília,-15.7939,-47.8828,Brazil,BR,Distrito Federal,primary,3039444,3015268
Salvador,-12.9747,-38.4767,Brazil,BR,Bahia,admin,2886698,2886698
Fortaleza,-3.7275,-38.5275,Brazil,BR,Ceará,admin,2452185,2452185
Manaus,-3.1000,-60.0167,Brazil,BR,Amazonas,admin,2219580,2219580
Santos,-23.9369,-46.3250,Brazil,BR,Sao Paulo,,1897551,433656
Curitiba,-25.4297,-49.2711,Brazil,BR,Paraná,admin,1879355,1879355
Recife,-8.0500,-34.9000,Brazil,BR,Pernambuco,admin,1653461,1653461
Belém,-1.4558,-48.5039,Brazil,BR,Pará,admin,1499641,1499641
Porto Alegre,-30.0331,-51.2300,Brazil,BR,Rio Grande do Sul,admin,1484941,1484941
Goiânia,-16.6667,-49.2500,Brazil,BR,Goiás,admin,1393575,1393575
Guarulhos,-23.4628,-46.5328,Brazil,BR,Sao Paulo,,1324781,1324781
Campinas,-22.9058,-47.0608,Brazil,BR,Sao Paulo,,1213792,1213792
Vila Velha,3.2167,-51.2167,Brazil,BR,Amapá,,1209091,1209091
Sao Luís,-2.5283,-44.3044,Brazil,BR,Maranhao,admin,1108975,1108975
Sao Gonçalo,-22.8269,-43.0539,Brazil,BR,Rio de Janeiro,,1077687,1077687
Maceió,-9.6658,-35.7350,Brazil,BR,Alagoas,admin,1025360,1025360
Teresina,-5.0949,-42.8042,Brazil,BR,Piauí,admin,953172,847430
Natal,-5.7833,-35.2000,Brazil,BR,Rio Grande do Norte,admin,877662,877662
Sao Bernardo do Campo,-23.7000,-46.5500,Brazil,BR,Sao Paulo,,816925,816925
Joao Pessoa,-7.1200,-34.8800,Brazil,BR,Paraíba,admin,801718,801718
Sao José dos Campos,-23.1789,-45.8869,Brazil,BR,Sao Paulo,,729737,729737
Santo André,-23.6572,-46.5333,Brazil,BR,Sao Paulo,,721368,721368
Ribeirao Prêto,-21.1783,-47.8067,Brazil,BR,Sao Paulo,,711825,711825
Jaboatao,-8.1803,-35.0014,Brazil,BR,Pernambuco,,702621,702621
Osasco,-23.5328,-46.7919,Brazil,BR,Sao Paulo,,694844,694844
Contagem,-19.9319,-44.0539,Brazil,BR,Minas Gerais,,648766,648766
Sorocaba,-23.5017,-47.4581,Brazil,BR,Sao Paulo,,644919,644919
Aracaju,-10.9167,-37.0500,Brazil,BR,Sergipe,admin,632744,632744
Ananindeua,-1.3658,-48.3719,Brazil,BR,Pará,,540410,540410
Niterói,-22.8833,-43.1036,Brazil,BR,Rio de Janeiro,,496696,496696
Serra,-20.1289,-40.3078,Brazil,BR,Espírito Santo,,485376,485376
Florianópolis,-27.6122,-48.4853,Brazil,BR,Santa Catarina,admin,477798,477798
Vila Velha,-20.3364,-40.2936,Brazil,BR,Espírito Santo,,472762,472762
Sao José do Rio Prêto,-20.8081,-49.3811,Brazil,BR,Sao Paulo,,469173,469173
Mauá,-23.6678,-46.4608,Brazil,BR,Sao Paulo,,453286,453286
Mogi das Cruzes,-23.5228,-46.1878,Brazil,BR,Sao Paulo,,450785,450785
Diadema,-23.6861,-46.6106,Brazil,BR,Sao Paulo,,426757,426757
Campina Grande,-7.2306,-35.8811,Brazil,BR,Paraíba,,405072,405072
Carapicuíba,-23.5192,-46.8358,Brazil,BR,Sao Paulo,,403183,403183
Maringá,-23.4000,-51.9167,Brazil,BR,Paraná,,403063,403063
Jundiaí,-23.1858,-46.8839,Brazil,BR,Sao Paulo,,401896,401896
Olinda,-8.0000,-34.8833,Brazil,BR,Pernambuco,,393115,393115
Betim,-19.9678,-44.1978,Brazil,BR,Minas Gerais,,378089,378089
Blumenau,-26.9333,-49.0500,Brazil,BR,Santa Catarina,,361855,361855
Franca,-20.5389,-47.4008,Brazil,BR,Sao Paulo,,358539,358539
Vitória,-20.2889,-40.3083,Brazil,BR,Espírito Santo,admin,355875,355875
Sao Vicente,-23.9633,-46.3922,Brazil,BR,Sao Paulo,,355542,355542
Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,Sao Paulo,,352801,352801
Cariacica,-20.2639,-40.4200,Brazil,BR,Espírito Santo,,348738,348738
Ribeirao das Neves,-19.7669,-44.0869,Brazil,BR,Minas Gerais,,331045,331045
Canoas,-29.9200,-51.1800,Brazil,BR,Rio Grande do Sul,,323827,323827
Guarujá,-23.9936,-46.2564,Brazil,BR,Sao Paulo,,311230,311230
Paulista,-7.9408,-34.8728,Brazil,BR,Pernambuco,,300466,300466
Praia Grande,-24.0061,-46.4028,Brazil,BR,Sao Paulo,,299261,299261
Taboao da Serra,-23.5328,-46.7994,Brazil,BR,Sao Paulo,,293652,293652
Suzano,-23.5428,-46.3108,Brazil,BR,Sao Paulo,,285280,285280
Sumaré,-22.8219,-47.2669,Brazil,BR,Sao Paulo,,265955,265955
Barueri,-23.5111,-46.8764,Brazil,BR,Sao Paulo,,262275,262275
Indaiatuba,-23.0903,-47.2181,Brazil,BR,Sao Paulo,,256223,256223
Sao José,-27.6000,-48.6167,Brazil,BR,Santa Catarina,,250181,250181
Juazeiro do Norte,-7.2000,-39.3333,Brazil,BR,Ceará,,249939,249939
Americana,-22.7386,-47.3311,Brazil,BR,Sao Paulo,,244270,244270
Ipatinga,-19.5000,-42.5333,Brazil,BR,Minas Gerais,,239468,239468
Novo Hamburgo,-29.6778,-51.1308,Brazil,BR,Rio Grande do Sul,,238940,238940
Arapiraca,-9.7519,-36.6608,Brazil,BR,Alagoas,,233047,233047
Cotia,-23.6042,-46.9194,Brazil,BR,Sao Paulo,,229548,229548
Magé,-22.6528,-43.0408,Brazil,BR,Rio de Janeiro,,227322,227322
Itapevi,-23.5489,-46.9342,Brazil,BR,Sao Paulo,,223404,223404
Santa Luzia,-19.7700,-43.8506,Brazil,BR,Minas Gerais,,220444,220444
Hortolândia,-22.8583,-47.2200,Brazil,BR,Sao Paulo,,215819,215819
Sao Leopoldo,-29.7600,-51.1469,Brazil,BR,Rio Grande do Sul,,214087,214087
Criciúma,-28.6775,-49.3697,Brazil,BR,Santa Catarina,,211369,211369
Maracanaú,-3.8667,-38.6333,Brazil,BR,Ceará,,209057,209057
Parnamirim,-5.9167,-35.2500,Brazil,BR,Rio Grande do Norte,,202456,202456
Alvorada,-29.9897,-51.0833,Brazil,BR,Rio Grande do Sul,,195673,195673
Santa Bárbara d’Oeste,-22.7544,-47.4142,Brazil,BR,Sao Paulo,,190139,190139
Ferraz de Vasconcelos,-23.5411,-46.3689,Brazil,BR,Sao Paulo,,184700,184700
Itajaí,-26.9000,-48.6667,Brazil,BR,Santa Catarina,,183373,183373
Francisco Morato,-23.2817,-46.7425,Brazil,BR,Sao Paulo,,168243,168243
Itapecerica da Serra,-23.7172,-46.8494,Brazil,BR,Sao Paulo,,167236,167236
Sao Caetano do Sul,-23.7000,-46.5500,Brazil,BR,Sao Paulo,,161957,161957
Ibirité,-20.0219,-44.0589,Brazil,BR,Minas Gerais,,158954,158954
Camarajibe,-8.0219,-34.9808,Brazil,BR,Pernambuco,,155054,155054
Franco da Rocha,-23.3286,-46.7244,Brazil,BR,Sao Paulo,,145755,145755
Rio das Ostras,-22.5269,-41.9450,Brazil,BR,Rio de Janeiro,,141117,141117
Cubatao,-23.8953,-46.4256,Brazil,BR,Sao Paulo,,131626,131626
Santana de Parnaíba,-23.4439,-46.9178,Brazil,BR,Sao Paulo,,126574,126574
Jandira,-23.5278,-46.9028,Brazil,BR,Sao Paulo,,126356,126356
Balneário de Camboriú,-26.9953,-48.6356,Brazil,BR,Santa Catarina,,124557,124557
Ribeirao Pires,-23.7153,-46.4194,Brazil,BR,Sao Paulo,,120396,120396
Valinhos,-22.9706,-46.9958,Brazil,BR,Sao Paulo,minor,120258,120258
Cachoeirinha,-29.9508,-51.0939,Brazil,BR,Rio Grande do Sul,,118278,118278
Votorantim,-23.5469,-47.4378,Brazil,BR,Sao Paulo,,117794,117794
Várzea Paulista,-23.2114,-46.8283,Brazil,BR,Sao Paulo,,116601,116601
Salto,-23.2008,-47.2869,Brazil,BR,Sao Paulo,,114171,114171
Poá,-23.5286,-46.3450,Brazil,BR,Sao Paulo,,113793,113793
Paço do Lumiar,-2.5319,-44.1078,Brazil,BR,Maranhao,,105121,105121
Vespasiano,-19.6919,-43.9228,Brazil,BR,Minas Gerais,,104527,104527
Bayeux,-7.1333,-34.9333,Brazil,BR,Paraíba,,96140,96140
Esteio,-29.8608,-51.1789,Brazil,BR,Rio Grande do Sul,,80755,80755
Campo Formoso,-10.5089,-40.3208,Brazil,BR,Bahia,,72271,72271
Cabedelo,-6.9808,-34.8339,Brazil,BR,Paraíba,,65634,65634
